0;Charpennes;45.77053043578537;4.862984107347188
1;Brotteaux;45.76684499605934;4.859328517227116
2;Gare Part-Dieu V.Merle;45.76158668854407;4.857760311933661
3;Place Guichard;45.75948762273104;4.8478797954238475
4;Saxe Gambetta;45.75403227376021;4.846988320275478
5;Lyon-Jean-Mace;45.74510301042927;4.841843765609317
6;Place Jean Jaures;45.738181524724766;4.837497824089047
7;Debourg;45.73154438812452;4.83437766094941
8;Stade de Gerland;45.726714954506846;4.830856341025554
9;Gare d'Oullins;45.71689495649899;4.815008134025797
